model_name,lr,batch_size,lora_r,template_type,best-val-epoch,best-val-f1,loss,accuracy,precision,recall,f1
rinna/japanese-gpt-neox-3.6b,0.05,32,32,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.03,32,32,2,,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.01,32,32,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.005,32,32,2,9.0,0.24782949123856568,0.07766325577445653,0.3220108695652174,0.362972442018135,0.30273233652691306,0.2821083167234807
rinna/japanese-gpt-neox-3.6b,0.003,32,32,2,0.0,0.02178649237472767,,0.12907608695652173,0.014341787439613526,0.1111111111111111,0.025404465837678834
rinna/japanese-gpt-neox-3.6b,0.001,32,32,2,8.0,0.9692023837818683,0.32656831326692,0.9769021739130435,0.9751131471972203,0.9726814705282213,0.9735649694748739
rinna/japanese-gpt-neox-3.6b,0.0005,32,32,2,7.0,0.9676627778762603,0.1648371115974758,0.9823369565217391,0.9801636609319908,0.9787140777661717,0.9792501059515425
rinna/japanese-gpt-neox-3.6b,0.0003,32,32,2,9.0,0.9673515686703067,0.22281936977220618,0.96875,0.9646122014002015,0.96205760973849,0.9630130846936239
rinna/japanese-gpt-neox-3.6b,0.0001,32,32,2,6.0,0.9479486156840069,0.27199859204499616,0.970108695652174,0.9685454813262968,0.9671523401339012,0.9676011282967338
rinna/japanese-gpt-neox-3.6b,5e-05,32,32,2,7.0,0.9428255855629699,0.007521537335022636,0.9592391304347826,0.9572636842620663,0.9549589480148636,0.9558110742366291
rinna/japanese-gpt-neox-3.6b,3e-05,32,32,2,8.0,0.9373914494534366,0.3120411997256072,0.9402173913043478,0.9350482310055871,0.9360980338305569,0.9354864525782044
rinna/japanese-gpt-neox-3.6b,1e-05,32,32,2,8.0,0.7894091702723591,0.6105850883152174,0.8125,0.8021489508329067,0.7942614254968875,0.7962131510664897
